fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,pintMax,horaPIntMax
2023-01-01,8025,ALACANT/ALICANTE,ALICANTE,81,"13,8","0,0","7,1",22:40,"20,6",14:20,31,"0,8","3,1",02:40,"4,5","1017,0",00,"1013,2",16,59,76,19:50,35,13:10,"0,0",
2023-01-02,8025,ALACANT/ALICANTE,ALICANTE,81,"12,0","0,0","5,0",07:30,"18,9",13:20,12,"0,6","3,6",13:30,"7,8","1016,5",23,"1013,2",04,60,77,Varias,40,12:20,"0,0",
2023-01-03,8025,ALACANT/ALICANTE,ALICANTE,81,"13,9","0,0","8,2",01:00,"19,6",13:00,12,"1,1","5,3",14:00,"6,7","1023,0",24,"1016,2",01,74,91,21:10,53,12:40,"0,0",
2023-01-04,8025,ALACANT/ALICANTE,ALICANTE,81,"12,5","0,0","7,5",06:50,"17,5",12:00,14,"1,1","4,2",12:10,"7,4","1025,0",10,"1022,5",17,82,97,08:10,59,14:10,"0,0",
2023-01-05,8025,ALACANT/ALICANTE,ALICANTE,81,"11,4","0,0","5,9",06:50,"17,0",13:20,99,"1,4","4,7",Varias,"8,8","1022,6",00,"1017,2",24,79,93,06:50,63,Varias,"0,0",
2023-01-06,8025,ALACANT/ALICANTE,ALICANTE,81,"12,0","0,0","5,7",07:20,"18,2",13:50,18,"1,7","5,6",12:50,"8,8","1017,2",00,"1014,5",15,73,91,01:30,46,13:50,"0,0",
2023-01-07,8025,ALACANT/ALICANTE,ALICANTE,81,"12,6","0,0","5,0",05:40,"20,3",14:30,28,"1,9","9,2",11:10,"9,0","1015,4",10,"1012,0",15,65,91,07:10,36,14:20,"0,0",
2023-01-08,8025,ALACANT/ALICANTE,ALICANTE,81,"13,0","0,0","8,7",06:00,"17,3",13:50,07,"0,8","4,2",15:30,"1,3","1012,5",00,"1006,0",16,73,85,23:40,57,13:40,"0,0",
2023-01-09,8025,ALACANT/ALICANTE,ALICANTE,81,"17,5","0,0","12,5",23:59,"22,5",14:00,30,"3,1","12,8",14:30,"6,8","1017,6",24,"1006,8",01,52,82,00:00,40,14:20,"0,0",
2023-01-10,8025,ALACANT/ALICANTE,ALICANTE,81,"16,3","0,0","9,5",06:50,"23,1",14:10,26,"1,7","8,1",11:10,"9,0","1019,7",10,"1016,1",14,57,83,23:30,32,13:40,"0,0",
2023-01-11,8025,ALACANT/ALICANTE,ALICANTE,81,"16,0","0,0","10,6",01:00,"21,3",14:20,32,"1,9","10,8",11:40,"8,8","1018,9",24,"1013,4",14,62,82,19:50,38,11:00,"0,0",
2023-01-12,8025,ALACANT/ALICANTE,ALICANTE,81,"13,3","0,0","8,6",23:50,"18,0",13:20,13,"1,1","4,7",12:40,"8,8","1020,7",10,"1016,8",24,74,89,22:40,49,12:30,"0,0",
2023-01-13,8025,ALACANT/ALICANTE,ALICANTE,81,"13,2","0,0","7,2",05:50,"19,3",13:10,07,"1,1","4,7",12:20,"8,1","1019,0",23,"1014,4",04,55,88,00:00,27,11:10,"0,0",
2023-01-14,8025,ALACANT/ALICANTE,ALICANTE,81,"12,3","0,0","5,5",06:50,"19,1",14:00,22,"1,9","7,5",14:50,"8,9","1019,0",10,"1012,9",24,60,82,19:20,32,13:10,"0,0",
2023-01-15,8025,ALACANT/ALICANTE,ALICANTE,81,"14,2","0,0","6,2",03:20,"22,2",14:00,99,"2,8","10,8",Varias,"9,0","1012,9",00,"1008,5",15,43,71,00:00,30,13:40,"0,0",
2023-01-16,8025,ALACANT/ALICANTE,ALICANTE,81,"14,4","0,0","9,6",01:30,"19,3",14:40,24,"4,4","14,4",15:50,"3,7","1011,2",00,"996,6",24,37,58,00:40,25,06:00,"0,0",
2023-01-17,8025,ALACANT/ALICANTE,ALICANTE,81,"16,7","0,0","11,1",23:59,"22,3",12:40,28,"4,7","18,3",15:00,"7,4","996,6",00,"989,4",14,37,56,23:50,22,15:00,"0,0",
